name,url,stars,description,license,question_issues,help_wanted_issues,community_score,created_at
doocs/source-code-hunter,https://github.com/doocs/source-code-hunter,22475,😱 从源码层面，剖析挖掘互联网行业主流技术的底层实现原理，为广大开发者 “提升技术深度” 提供便利。目前开放 Spring 全家桶，Mybatis、Netty、Dubbo 框架，及 Redis、Tomcat 中间件等,Creative Commons Attribution Share Alike 4.0 International,0,0,0,2019-10-28
dianping/cat,https://github.com/dianping/cat,18781,"CAT 作为服务端项目基础组件，提供了 Java, C/C++, Node.js, Python, Go 等多语言客户端，已经在美团点评的基础架构中间件框架（MVC框架，RPC框架，数据库框架，缓存框架等，消息队列，配置系统等）深度集成，为美团点评各业务线提供系统丰富的性能指标、健康状况、实时告警等。",Apache License 2.0,0,0,0,2012-12-05
linlinjava/litemall,https://github.com/linlinjava/litemall,19460,又一个小商城。litemall = Spring Boot后端 + Vue管理员前端 + 微信小程序用户前端 + Vue用户移动端,The MIT License,0,0,0,2018-03-22
apache/shardingsphere,https://github.com/apache/shardingsphere,20048,"Empowering Data Intelligence with Distributed SQL for Sharding, Scalability, and Security Across All Databases.",Apache License 2.0,0,0,0,2016-01-18
conductor-oss/conductor,https://github.com/conductor-oss/conductor,20146,Conductor is an event driven orchestration platform,Apache License 2.0,0,0,0,2023-12-08
JetBrains/intellij-community,https://github.com/JetBrains/intellij-community,17654,IntelliJ IDEA Community Edition & IntelliJ Platform,Apache License 2.0,0,0,0,2011-09-30
shuzheng/zheng,https://github.com/shuzheng/zheng,16712,基于Spring+SpringMVC+Mybatis分布式敏捷开发系统架构，提供整套公共微服务服务模块：集中权限管理（单点登录）、内容管理、支付中心、用户管理（支持第三方登录）、微信平台、存储系统、配置中心、日志分析、任务和通知等，支持服务治理、监控和追踪，努力为中小型企业打造全方位J2EE企业级开发解决方案。,The MIT License,0,0,0,2016-10-04
winterbe/java8-tutorial,https://github.com/winterbe/java8-tutorial,16763,Modern Java - A Guide to Java 8,The MIT License,0,0,0,2014-03-16
infinilabs/analysis-ik,https://github.com/infinilabs/analysis-ik,16805,"🚌 The IK Analysis plugin integrates Lucene IK analyzer into Elasticsearch and OpenSearch, support customized dictionary.",Apache License 2.0,0,0,0,2011-12-16
JeffLi1993/springboot-learning-example,https://github.com/JeffLi1993/springboot-learning-example,16420,spring boot 实践学习案例，是 spring boot 初学者及核心技术巩固的最佳实践。,Apache License 2.0,0,0,0,2017-02-06
prestodb/presto,https://github.com/prestodb/presto,16206,The official home of the Presto distributed SQL query engine for big data,Apache License 2.0,0,0,0,2012-08-09
kestra-io/kestra,https://github.com/kestra-io/kestra,15902,":zap: Workflow Automation Platform. Orchestrate & Schedule code in any language, run anywhere, 500+ plugins. Alternative to Zapier, Rundeck, Camunda, Airflow...",Apache License 2.0,0,0,0,2019-08-24
gyoogle/tech-interview-for-developer,https://github.com/gyoogle/tech-interview-for-developer,15299,👶🏻 신입 개발자 전공 지식 & 기술 면접 백과사전 📖,The MIT License,0,0,0,2019-06-09
zhisheng17/flink-learning,https://github.com/zhisheng17/flink-learning,14655,flink learning blog. http://www.54tianzhisheng.cn/  含 Flink 入门、概念、原理、实战、性能调优、源码解析等内容。涉及 Flink Connector、Metrics、Library、DataStream API、Table API & SQL 等内容的学习案例，还有 Flink 落地应用的大型项目案例（PVUV、日志存储、百亿数据实时去重、监控告警）分享。欢迎大家支持我的专栏《大数据实时计算引擎 Flink 实战与性能优化》,Apache License 2.0,0,0,0,2019-01-01
alibaba/ARouter,https://github.com/alibaba/ARouter,14470,💪 A framework for assisting in the renovation of Android componentization (帮助 Android App 进行组件化改造的路由框架),Apache License 2.0,0,0,0,2016-12-14
orhanobut/logger,https://github.com/orhanobut/logger,13843,"✔️ Simple, pretty and powerful logger for android",Apache License 2.0,0,0,0,2015-03-20
theonedev/onedev,https://github.com/theonedev/onedev,13699,"Git Server with CI/CD, Kanban, and Packages. Seamless integration. Unparalleled experience.",The MIT License,0,0,0,2018-11-06
