name,url,stars,description,license,question_issues,help_wanted_issues,community_score,created_at
dodyg/practical-aspnetcore,https://github.com/dodyg/practical-aspnetcore,9662,"Practical samples of ASP.NET Core 9, 8.0, 7.0, 6.0, 5.0, 3.1, 2.2, and 2.1,projects you can use. Readme contains explanations on all projects.",The MIT License,0,0,0,2016-07-27
Cysharp/UniTask,https://github.com/Cysharp/UniTask,8785,Provides an efficient allocation free async/await integration for Unity.,The MIT License,0,0,0,2019-05-19
Kyome22/RunCat_for_windows,https://github.com/Kyome22/RunCat_for_windows,6849,A cute running cat animation on your windows taskbar.,Apache License 2.0,0,0,0,2020-08-06
NancyFx/Nancy,https://github.com/NancyFx/Nancy,7146,"Lightweight, low-ceremony, framework for building HTTP based services on .Net and Mono",The MIT License,0,0,0,2010-06-24
RayWangQvQ/BiliBiliToolPro,https://github.com/RayWangQvQ/BiliBiliToolPro,6834,B 站（bilibili）自动任务工具，支持docker、青龙、k8s等多种部署方式。敏感肌也能用。,The MIT License,0,0,0,2021-12-08
neuecc/UniRx,https://github.com/neuecc/UniRx,7158,Reactive Extensions for Unity,The MIT License,0,0,0,2014-03-20
MassTransit/MassTransit,https://github.com/MassTransit/MassTransit,7215,Distributed Application Framework for .NET,Apache License 2.0,0,0,0,2010-07-16
HandyOrg/HandyControl,https://github.com/HandyOrg/HandyControl,6345,Contains some simple and commonly used WPF controls,The MIT License,0,0,0,2018-05-22
EllanJiang/GameFramework,https://github.com/EllanJiang/GameFramework,6093,"This is literally a game framework, based on Unity game engine. It encapsulates commonly used game modules during development, and, to a large degree, standardises the process, enhances the development speed and ensures the product quality.",The MIT License,0,0,0,2017-02-26
microsoft/VFSForGit,https://github.com/microsoft/VFSForGit,6016,Virtual File System for Git: Enable Git at Enterprise Scale,The MIT License,0,0,0,2017-01-25
