name,url,stars,description,license,question_issues,help_wanted_issues,total_issues,community_score,created_at
AdamBien/best-of-java-shorts,https://github.com/AdamBien/best-of-java-shorts,37,A selection of Java Shorts from http://youtube.com/bienadam/shorts that I sometimes present at conferences,The MIT License,0,0,2,0,2024-10-18
yida-lxw/spider-flow,https://github.com/yida-lxw/spider-flow,36,"克隆自 github 上开源项目 spider-flow ,不过作者已经4年多没有更新了，我打算接管这个项目，修复一些BUG以及做些改造升级。",The MIT License,0,0,2,0,2024-08-20
Tutorials-By-Kaupenjoe/NeoForge-Tutorial-1.21.X,https://github.com/Tutorials-By-Kaupenjoe/NeoForge-Tutorial-1.21.X,35,Official Repository of Kaupenjoe's NeoForge Modding Tutorials for Minecraft 1.21.X,The MIT License,0,0,2,0,2024-08-05
telekom/advanced-coding-assistant-backend,https://github.com/telekom/advanced-coding-assistant-backend,31,Advanced Coding Assistant is an experimental research and development (R&D) project designed as an innovative orchestration platform that enables semantic code understanding through interactive documentation.,Apache License 2.0,0,0,2,0,2024-11-12
leap0x7b/Droidcord,https://github.com/leap0x7b/Droidcord,26,A Discord client for old Android <4.x devices.,The MIT License,0,0,2,0,2024-07-17
Argon4W/AcceleratedRendering,https://github.com/Argon4W/AcceleratedRendering,25,Entity ModelPart Transform Accelerator,The MIT License,0,0,2,0,2024-12-07
quarkiverse/quarkus-mcp-servers,https://github.com/quarkiverse/quarkus-mcp-servers,24,Model Context Protocol Servers in Quarkus,Apache License 2.0,0,0,2,0,2025-01-22
Kalpu-24/SnakeWall,https://github.com/Kalpu-24/SnakeWall,21,Snake Game Wallpaper inspired by Nothing's Snake Game Widget,The MIT License,0,0,2,0,2024-12-13
520CCC/AIGenerateCode,https://github.com/520CCC/AIGenerateCode,854,Android谷歌上架马甲包垃圾代码混淆,Apache License 2.0,0,0,1,0,2024-08-22
szeiger/perfio,https://github.com/szeiger/perfio,151,,Apache License 2.0,0,0,1,0,2024-10-27
singlr-ai/nocaptcha,https://github.com/singlr-ai/nocaptcha,73,Single-use passkey verification to replace CAPTCHA,The MIT License,0,0,1,0,2024-10-25
umutcamliyurt/MockTraffic,https://github.com/umutcamliyurt/MockTraffic,72,"A random DNS, HTTPS internet traffic noise generator for Android",The MIT License,0,0,1,0,2024-10-16
mkpaz/devtoolsfx,https://github.com/mkpaz/devtoolsfx,41,A tool for navigating JavaFX scene graph and exploring node properties,The MIT License,0,0,1,0,2024-10-11
