name,url,stars,description,license,question_issues,help_wanted_issues,total_issues,community_score,created_at
cifertech/TamaFi,https://github.com/cifertech/TamaFi,55,"TamaFi is an open-source, WiFi-enabled virtual pet project built with an ESP32",The MIT License,0,0,3,0,2024-11-29
galileolajara/cp1,https://github.com/galileolajara/cp1,55,"Cp1 / C+1 / C plus 1 Programming Language, a TypeScript for C",The MIT License,0,0,3,0,2024-10-23
tsoding/generators,https://github.com/tsoding/generators,47,Python Generators in C,The MIT License,0,0,3,0,2025-02-10
upiir/arduino_temperature_gauge,https://github.com/upiir/arduino_temperature_gauge,38,Arduino Temperature Gauge,The MIT License,0,0,3,0,2024-08-29
jserv/rbtree,https://github.com/jserv/rbtree,28,A red-black tree implementation,The MIT License,0,0,3,0,2024-11-10
xy-gao/splatviz-blender,https://github.com/xy-gao/splatviz-blender,24,Blender addon for gaussian splatting rendering,The MIT License,0,0,3,0,2024-08-13
ton-blockchain/tolk-vscode,https://github.com/ton-blockchain/tolk-vscode,21,Support for Tolk Language in VS Code (next-generation FunC),The MIT License,0,0,3,0,2024-10-31
slacky1965/tuya_co2sensor_zrd,https://github.com/slacky1965/tuya_co2sensor_zrd,20,,Apache License 2.0,0,0,3,0,2025-02-11
ton-blockchain/convert-func-to-tolk,https://github.com/ton-blockchain/convert-func-to-tolk,20,Convert FunC contracts to Tolk with a single command,The MIT License,0,0,3,0,2024-11-01
seclab-yonsei/CovRL-Fuzz,https://github.com/seclab-yonsei/CovRL-Fuzz,19,CovRL-Fuzz: Fuzzing JavaScript Interpreters with Coverage-Guided Reinforcement Learning for LLM-Based Mutation,Apache License 2.0,0,0,3,0,2024-07-13
wangkingh/FastXC,https://github.com/wangkingh/FastXC,18,High Performance Noise Cross-Corelation Computing Code for 9-component Recordings,The MIT License,0,0,3,0,2024-11-21
dawsonjon/PicoSSTV,https://github.com/dawsonjon/PicoSSTV,18,Slow Scan Television (SSTV) decoder using Raspberry Pi Pico,The MIT License,0,0,3,0,2025-01-03
c0stya/trre,https://github.com/c0stya/trre,230,Transductive regular expressions,The MIT License,0,0,2,0,2024-10-09
shaddy43/BrowserSnatch,https://github.com/shaddy43/BrowserSnatch,205,This project steals important data from all chromium and gecko browsers installed in the system and gather the data in a stealer db to be exfiltrated out. A powerful Browser Stealer,The MIT License,0,0,2,0,2024-08-26
jeuxdemains/DOOM-like-game-engine-part-I,https://github.com/jeuxdemains/DOOM-like-game-engine-part-I,72,The source code of part I of the video tutorial on coding a DOOM-like game engine from scratch.,The MIT License,0,0,2,0,2024-07-03
Boxjod/RLBench_ACT,https://github.com/Boxjod/RLBench_ACT,47,RLBench_ACT: Running ALoha ACT and Diffusion Policy in the RLBench Framework,Apache License 2.0,0,0,2,0,2024-10-18
XuSenfeng/ai-chat-local,https://github.com/XuSenfeng/ai-chat-local,37,使用esp32+ollama实现本地模型的对话以及联网+工具调用,Apache License 2.0,0,0,2,0,2025-02-04
fuhsnn/widcc,https://github.com/fuhsnn/widcc,34,"Simple C compiler for x86-64 Linux able to build real-world projects including Curl, GCC, Git, PHP, Perl, Python, PostgreSQL etc",The MIT License,0,0,2,0,2024-07-19
bread-modular/bread-modular,https://github.com/bread-modular/bread-modular,31,Modular Synths for Everyone,The MIT License,0,0,2,0,2024-10-04
RicardoX2X/Business_card,https://github.com/RicardoX2X/Business_card,29,,The MIT License,0,0,2,0,2024-09-20
waveshareteam/ESP32-AIChats,https://github.com/waveshareteam/ESP32-AIChats,26,"A library for ESP32 access to the large model platform to realize voice dialogue, supporting ESP32-S3 and ESP32-P4",Apache License 2.0,0,0,2,0,2024-12-31
stbanana/modbusX,https://github.com/stbanana/modbusX,21,modbus protocol support,The MIT License,0,0,2,0,2024-07-22
petitstrawberry/minibook-support,https://github.com/petitstrawberry/minibook-support,17,Software for CHUWI MiniBook (8-inch) / MiniBook X (10-inch) running Linux,The MIT License,0,0,2,0,2024-07-29
aagdev/mlimgsynth,https://github.com/aagdev/mlimgsynth,16,Image synthesis using machine learning,The MIT License,0,0,2,0,2024-07-13
skiptools/swift-sqlcipher,https://github.com/skiptools/swift-sqlcipher,15,Cross-platform swift SQLite interface with embedded SQLCipher extension,The MIT License,0,0,2,0,2024-11-30
google/pebble,https://github.com/google/pebble,4362,This is the latest version of the internal repository from Pebble Technology providing the software to run on Pebble watches. Proprietary source code has been removed from this repository and it will not compile as-is. This is for information only.,Apache License 2.0,0,0,1,0,2025-01-21
phoboslab/high_impact,https://github.com/phoboslab/high_impact,1095,A 2d game engine written in C,The MIT License,0,0,1,0,2024-08-04
will127534/IMU_Array,https://github.com/will127534/IMU_Array,243,32x IMU array sensor board based on ICM-42688-P and ICE40UP5K,The MIT License,0,0,1,0,2024-07-28
Seeed-Studio/OSHW-reCamera-Series,https://github.com/Seeed-Studio/OSHW-reCamera-Series,212,reCamera is an opensource camera platform,Apache License 2.0,0,0,1,0,2024-07-31
raysan5/raylib-project-creator,https://github.com/raysan5/raylib-project-creator,197,A simple and easy-to-use raylib build projects generator,Zlib/libpng License,0,0,1,0,2024-09-26
volcengine/rtc-aigc-embedded-demo,https://github.com/volcengine/rtc-aigc-embedded-demo,136,,The MIT License,0,0,1,0,2025-01-15
zeim839/nes-tools,https://github.com/zeim839/nes-tools,130,NES toolchain & emulator in C,The MIT License,0,0,1,0,2024-11-19
dexter-xD/tcp_server_c,https://github.com/dexter-xD/tcp_server_c,123,TCP server in C with dynamic HTML templating.,The MIT License,0,0,1,0,2024-10-31
kizohi00/Esp-netHunter,https://github.com/kizohi00/Esp-netHunter,117,A portable ESP8266-based device for Evil Twin and deauthentication attacks with customizable phishing pages.,The MIT License,0,0,1,0,2024-11-21
polarsignals/kubezonnet,https://github.com/polarsignals/kubezonnet,107,Monitor cross-zone network traffic in Kubernetes.,Apache License 2.0,0,0,1,0,2024-12-06
